,/data/provider/renet/2018-01-11/02/10059385_2018-01-11_04-53-24_5a5653143b4b5.xml
19253265,/data/provider/renet/2018-01-05/18/2085_2018-01-05_20-53-08_5a4f4b049f895.xml
19507955,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19507035,/data/provider/renet/2018-01-10/22/10065085_2018-01-11_00-54-39_5a561b1f29890.xml
7911643,/data/provider/renet/2018-01-01/22/4569_2018-01-02_00-54-16_5a4a3d8835b69.xml
18955215,/data/provider/renet/2018-01-02/18/71-336_2018-01-02_20-56-00_5a4b5730bc122.xml
18626115,/data/provider/renet/2018-01-08/06/615-162_2018-01-08_08-53-57_5a5296f542f72.xml
19399645,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19507985,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19564175,/data/provider/renet/2018-01-09/18/615-186_2018-01-09_20-56-28_5a5491cca146c.xml
19507085,/data/provider/renet/2018-01-07/22/10065085_2018-01-08_00-54-47_5a5226a75d10e.xml
19508735,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19499465,/data/provider/renet/2018-01-04/06/2085_2018-01-04_08-53-16_5a4d50cc169de.xml
19228615,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
13500285,/data/provider/renet/2018-01-08/10/10016383_2018-01-08_12-56-15_5a52cfc0004e3.xml
18628265,/data/provider/renet/2018-01-04/18/2085_2018-01-04_20-53-34_5a4df99e09512.xml
18659055,/data/provider/renet/2018-01-06/10/627_2018-01-06_12-53-06_5a502c0250158.xml
19399635,/data/provider/renet/2018-01-10/18/71-334_2018-01-10_20-55-06_5a55e2fad7917.xml
19507975,/data/provider/renet/2018-01-04/10/615-186_2018-01-04_12-57-24_5a4d8a044ba52.xml
19484415,/data/provider/renet/2018-01-04/10/71-333_2018-01-04_12-55-40_5a4d899c31731.xml
19564165,/data/provider/renet/2018-01-09/18/615-186_2018-01-09_20-56-28_5a5491cca146c.xml
9148713,/data/provider/renet/2018-01-01/10/2085_2018-01-01_12-53-15_5a49948b492a4.xml
11144603,/data/provider/renet/2018-01-04/14/7042_2018-01-04_16-55-00_5a4dc1b447600.xml
17118605,/data/provider/renet/2018-01-11/06/2085_2018-01-11_08-53-07_5a568b432a841.xml
19508725,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19404355,/data/provider/renet/2018-01-05/10/627_2018-01-05_12-53-08_5a4eda84758ba.xml
14818285,/data/provider/renet/2018-01-08/10/10015302_2018-01-08_12-56-11_5a52cfbbe062c.xml
5690992,/data/provider/renet/2018-01-03/14/627_2018-01-03_16-53-09_5a4c6fc5a2309.xml
19399625,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
18991665,/data/provider/renet/2018-01-06/10/2085_2018-01-06_12-53-25_5a502c1508f0a.xml
17526185,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
19508715,/data/provider/renet/2018-01-04/10/615-186_2018-01-04_12-57-24_5a4d8a044ba52.xml
6087982,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
18979705,/data/provider/renet/2018-01-10/18/1026_2018-01-10_20-54-03_5a55e2bb375b0.xml
19507995,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19404365,/data/provider/renet/2018-01-08/14/14692_2018-01-08_16-55-13_5a5307c1b2bb4.xml
19145705,/data/provider/renet/2018-01-03/14/2085_2018-01-03_16-53-54_5a4c6ff2ed93a.xml
19117085,/data/provider/renet/2018-01-09/06/615-135_2018-01-09_08-54-25_5a53e891293a6.xml
13502315,/data/provider/renet/2018-01-04/10/10016383_2018-01-04_12-55-50_5a4d89a6af730.xml
19508705,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19092485,/data/provider/renet/2018-01-01/14/71-333_2018-01-01_16-54-10_5a49cd0293eeb.xml
19464235,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
7924343,/data/provider/renet/2018-01-02/14/4569_2018-01-02_16-57-07_5a4b1f33818aa.xml
18626935,/data/provider/renet/2018-01-03/10/1026_2018-01-03_12-54-36_5a4c37dc513cf.xml
19315665,/data/provider/renet/2018-01-08/14/10005182_2018-01-08_16-55-31_5a5307d35ad8c.xml
19399675,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19060225,/data/provider/renet/2018-01-11/06/10059385_2018-01-11_08-54-18_5a568b8acd1be.xml
17877625,/data/provider/renet/2018-01-07/10/2085_2018-01-07_12-53-34_5a517d9e0a952.xml
17882675,/data/provider/renet/2018-01-02/18/6860_2018-01-02_20-54-30_5a4b56d69c849.xml
19195875,/data/provider/renet/2018-01-04/10/71-287_2018-01-04_12-56-12_5a4d89bc761a5.xml
19464245,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19136055,/data/provider/renet/2018-01-08/14/2085_2018-01-08_16-54-22_5a53078ea30bd.xml
19399685,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
14161485,/data/provider/renet/2018-01-10/14/10015302_2018-01-10_16-55-45_5a55aae166613.xml
19464255,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
18700885,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
19260655,/data/provider/renet/2018-01-03/10/2085_2018-01-03_12-53-31_5a4c379b28d17.xml
19368635,/data/provider/renet/2018-01-11/06/71-294_2018-01-11_08-54-07_5a568b7fba4e4.xml
19399655,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
14441125,/data/provider/renet/2018-01-09/02/2085_2018-01-09_04-53-07_5a53b003095e0.xml
19515045,/data/provider/renet/2018-01-11/02/10016383_2018-01-11_04-53-18_5a56530e2602f.xml
19270725,/data/provider/renet/2018-01-08/10/71-336_2018-01-08_12-58-04_5a52d02c9e5c8.xml
18406275,/data/provider/renet/2018-01-10/10/71-334_2018-01-10_12-55-42_5a55729e80c98.xml
18907815,/data/provider/renet/2018-01-06/22/1072_2018-01-07_00-53-43_5a50d4e7c41d5.xml
19464265,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19397995,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19399665,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19480755,/data/provider/renet/2018-01-08/10/71-328_2018-01-08_12-58-02_5a52d02a8c338.xml
19401625,/data/provider/renet/2018-01-07/14/71-334_2018-01-07_16-54-28_5a51b6148bfc1.xml
19464275,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
13033923,/data/provider/renet/2018-01-11/06/627_2018-01-11_08-53-02_5a568b3e75f11.xml
19189425,/data/provider/renet/2018-01-10/06/615-162_2018-01-10_08-54-11_5a553a035d713.xml
18791275,/data/provider/renet/2018-01-08/14/ZZZZZZZZZ_2018-01-08_16-53-05_5a530741a7007.xml
19370685,/data/provider/renet/2018-01-10/10/627_2018-01-10_12-53-06_5a5572026dfb5.xml
19214355,/data/provider/renet/2018-01-03/14/10000063_2018-01-03_16-55-15_5a4c7044000e3.xml
9128783,/data/provider/renet/2018-01-01/18/1026_2018-01-01_20-53-43_5a4a0527a6558.xml
19043985,/data/provider/renet/2018-01-09/06/6914_2018-01-09_08-53-58_5a53e8769355a.xml
12533673,/data/provider/renet/2018-01-09/06/14692_2018-01-09_08-54-06_5a53e87e60c3a.xml
19507905,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
18607025,/data/provider/renet/2018-01-04/14/ZZZZZZZZZ_2018-01-04_16-53-05_5a4dc1410a891.xml
19214345,/data/provider/renet/2018-01-09/14/1026_2018-01-09_16-54-27_5a545913cf90e.xml
2403152,/data/provider/renet/2018-01-09/10/1026_2018-01-09_12-54-34_5a5420dac397f.xml
19399695,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19222835,/data/provider/renet/2018-01-08/10/71-297_2018-01-08_12-57-16_5a52cffcb973e.xml
19507915,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19189405,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
19397435,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19013895,/data/provider/renet/2018-01-02/14/10016383_2018-01-02_16-56-17_5a4b1f017d36b.xml
4745852,/data/provider/renet/2018-01-08/06/2085_2018-01-08_08-53-14_5a5296ca65b2b.xml
3830482,/data/provider/renet/2018-01-09/10/627_2018-01-09_12-53-08_5a5420842991b.xml
13500215,/data/provider/renet/2018-01-09/14/10016383_2018-01-09_16-56-42_5a54599a1a2ed.xml
18947205,/data/provider/renet/2018-01-08/06/615-051_2018-01-08_08-53-42_5a5296e6548b3.xml
19507925,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
18917695,/data/provider/renet/2018-01-04/22/71-322_2018-01-05_00-54-38_5a4e321ecb414.xml
5352162,/data/provider/renet/2018-01-11/02/627_2018-01-11_04-53-01_5a5652fd8c8fc.xml
19402135,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19040745,/data/provider/renet/2018-01-07/22/71-333_2018-01-08_00-54-14_5a522686af056.xml
19509505,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19452655,/data/provider/renet/2018-01-10/18/71-334_2018-01-10_20-55-06_5a55e2fad7917.xml
7811733,/data/provider/renet/2018-01-04/14/1026_2018-01-04_16-54-23_5a4dc18f16811.xml
19397945,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19019735,/data/provider/renet/2018-01-11/06/10006842_2018-01-11_08-53-41_5a568b6546859.xml
19279365,/data/provider/renet/2018-01-08/14/2085_2018-01-08_16-53-38_5a530762a0a83.xml
11355023,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
14741025,/data/provider/renet/2018-01-05/10/2085_2018-01-05_12-54-06_5a4edabed551b.xml
19397935,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
18708205,/data/provider/renet/2018-01-07/14/1026_2018-01-07_16-53-47_5a51b5ebebeec.xml
19019745,/data/provider/renet/2018-01-02/18/2085_2018-01-02_20-53-45_5a4b56a9e0721.xml
19433005,/data/provider/renet/2018-01-03/22/10059405_2018-01-04_00-54-52_5a4ce0ac75474.xml
18528505,/data/provider/renet/2018-01-04/14/2085_2018-01-04_16-53-37_5a4dc1610c674.xml
19307955,/data/provider/renet/2018-01-11/06/10047385_2018-01-11_08-54-03_5a568b7b6ad49.xml
19105215,/data/provider/renet/2018-01-09/14/71-328_2018-01-09_16-58-51_5a545a1bc84ed.xml
12037883,/data/provider/renet/2018-01-08/06/10016453_2018-01-08_08-53-37_5a5296e1997be.xml
19397915,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19028895,/data/provider/renet/2018-01-08/14/6732_2018-01-08_16-54-42_5a5307a2e6e0b.xml
19509555,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19398585,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19397985,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19146305,/data/provider/renet/2018-01-10/02/615-125_2018-01-10_04-53-29_5a5501990d782.xml
19441615,/data/provider/renet/2018-01-02/14/627_2018-01-02_16-53-10_5a4b1e464815f.xml
19509545,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19326295,/data/provider/renet/2018-01-03/14/10000063_2018-01-03_16-55-15_5a4c7044000e3.xml
19402105,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19398595,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19107025,/data/provider/renet/2018-01-06/10/2085_2018-01-06_12-53-36_5a502c202f084.xml
19509535,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19227605,/data/provider/renet/2018-01-10/18/1026_2018-01-10_20-54-03_5a55e2bb375b0.xml
19467925,/data/provider/renet/2018-01-10/10/1026_2018-01-10_12-54-19_5a55724ba79e5.xml
19397965,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
18888335,/data/provider/renet/2018-01-05/10/2085_2018-01-05_12-54-13_5a4edac5ebe36.xml
19402115,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
18089645,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
18791215,/data/provider/renet/2018-01-04/10/ZZZZZZZZZ_2018-01-04_12-53-05_5a4d89014023f.xml
19343465,/data/provider/renet/2018-01-05/14/71-328_2018-01-05_16-57-08_5a4f13b46a18a.xml
14265305,/data/provider/renet/2018-01-07/10/627_2018-01-07_12-53-02_5a517d7eb01c4.xml
8021143,/data/provider/renet/2018-01-09/02/14692_2018-01-09_04-53-28_5a53b018cb75e.xml
19509525,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19402125,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
18338275,/data/provider/renet/2018-01-05/10/2085_2018-01-05_12-54-06_5a4edabed551b.xml
15372775,/data/provider/renet/2018-01-09/02/2085_2018-01-09_04-53-04_5a53b000adcac.xml
13210793,/data/provider/renet/2018-01-11/06/627_2018-01-11_08-53-02_5a568b3e75f11.xml
19509515,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19400785,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19430455,/data/provider/renet/2018-01-11/06/615-008_2018-01-11_08-54-27_5a568b9376de5.xml
19509315,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19508875,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19241665,/data/provider/renet/2018-01-08/10/2085_2018-01-08_12-54-02_5a52cf3a7886b.xml
13490755,/data/provider/renet/2018-01-08/14/10016383_2018-01-08_16-56-21_5a5308058cb02.xml
19398415,/data/provider/renet/2018-01-10/14/71-334_2018-01-10_16-55-39_5a55aadb7f78c.xml
19509325,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19508865,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19509335,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19493035,/data/provider/renet/2018-01-09/10/71-328_2018-01-09_12-57-36_5a542190b6ae5.xml
12334343,/data/provider/renet/2018-01-09/06/10011532_2018-01-09_08-54-12_5a53e884a017a.xml
19499305,/data/provider/renet/2018-01-09/10/627_2018-01-09_12-53-08_5a5420842991b.xml
19240555,/data/provider/renet/2018-01-08/14/1072_2018-01-08_16-54-33_5a53079924436.xml
19509345,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19493045,/data/provider/renet/2018-01-02/14/71-328_2018-01-02_16-57-44_5a4b1f584df6a.xml
19031695,/data/provider/renet/2018-01-10/06/6732_2018-01-10_08-53-28_5a5539d8ec591.xml
18327175,/data/provider/renet/2018-01-08/10/627_2018-01-08_12-53-09_5a52cf051a08d.xml
18628195,/data/provider/renet/2018-01-05/06/3965_2018-01-05_08-53-31_5a4ea25b30000.xml
19508885,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19372315,/data/provider/renet/2018-01-07/18/71-319_2018-01-07_20-54-46_5a51ee661dd60.xml
19509355,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19508895,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19206035,/data/provider/renet/2018-01-09/06/71-307_2018-01-09_08-54-41_5a53e8a1d15fd.xml
9622053,/data/provider/renet/2018-01-07/14/627_2018-01-07_16-53-02_5a51b5beb6333.xml
19507895,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
150204,/data/provider/renet/2018-01-06/14/2085_2018-01-06_16-53-59_5a50647701394.xml
19416065,/data/provider/renet/2018-01-05/14/71-316_2018-01-05_16-56-51_5a4f13a30babc.xml
8589463,/data/provider/renet/2018-01-11/02/23661_2018-01-11_04-53-16_5a56530c3602d.xml
16313895,/data/provider/renet/2018-01-09/14/1026_2018-01-09_16-54-27_5a545913cf90e.xml
18682385,/data/provider/renet/2018-01-10/22/71-333_2018-01-11_00-54-07_5a561affc7928.xml
19184595,/data/provider/renet/2018-01-05/14/71-333_2018-01-05_16-56-05_5a4f13753dc37.xml
11336613,/data/provider/renet/2018-01-02/14/1026_2018-01-02_16-54-25_5a4b1e911e96f.xml
19509365,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
15456095,/data/provider/renet/2018-01-02/14/627_2018-01-02_16-53-10_5a4b1e464815f.xml
17558995,/data/provider/renet/2018-01-10/02/2085_2018-01-10_04-53-09_5a550185aacbd.xml
18922595,/data/provider/renet/2018-01-10/18/1026_2018-01-10_20-54-03_5a55e2bb375b0.xml
19419405,/data/provider/renet/2018-01-10/18/1026_2018-01-10_20-54-03_5a55e2bb375b0.xml
19509375,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
18421465,/data/provider/renet/2018-01-05/14/627_2018-01-05_16-53-08_5a4f12c47c599.xml
19366585,/data/provider/renet/2018-01-09/10/71-336_2018-01-09_12-57-43_5a5421971a2b4.xml
19568815,/data/provider/renet/2018-01-10/18/71-336_2018-01-10_20-56-12_5a55e33c515c1.xml
8853103,/data/provider/renet/2018-01-03/18/10014772_2018-01-03_20-55-00_5a4ca874ee1fe.xml
19416085,/data/provider/renet/2018-01-11/06/615-135_2018-01-11_08-53-52_5a568b7078dca.xml
19228575,/data/provider/renet/2018-01-08/14/6837-1243_2018-01-08_16-54-56_5a5307b02670b.xml
19320835,/data/provider/renet/2018-01-11/06/2085_2018-01-11_08-53-16_5a568b4c71860.xml
19509385,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
19517315,/data/provider/renet/2018-01-03/18/71-333_2018-01-03_20-54-58_5a4ca87233ed2.xml
18751175,/data/provider/renet/2018-01-05/10/615-172_2018-01-05_12-56-37_5a4edb557b037.xml
19156845,/data/provider/renet/2018-01-05/14/10011532_2018-01-05_16-56-02_5a4f1372587d3.xml
19519475,/data/provider/renet/2018-01-08/10/627_2018-01-08_12-53-09_5a52cf051a08d.xml
19401495,/data/provider/renet/2018-01-10/10/71-334_2018-01-10_12-55-42_5a55729e80c98.xml
19402295,/data/provider/renet/2018-01-02/14/71-334_2018-01-02_16-56-03_5a4b1ef32266a.xml
19246805,/data/provider/renet/2018-01-06/22/2085_2018-01-07_00-53-31_5a50d4db51108.xml
19517325,/data/provider/renet/2018-01-03/18/71-334_2018-01-03_20-54-52_5a4ca86ce3ec1.xml
19509395,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
11864263,/data/provider/renet/2018-01-04/10/10014772_2018-01-04_12-55-42_5a4d899ea98fd.xml
19525365,/data/provider/renet/2018-01-05/14/1026_2018-01-05_16-54-25_5a4f1311a3ee2.xml
19189395,/data/provider/renet/2018-01-08/14/10051286_2018-01-08_16-57-21_5a530841b0368.xml
5350052,/data/provider/renet/2018-01-09/14/627_2018-01-09_16-53-08_5a5458c452275.xml
19507845,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
18508675,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
18059855,/data/provider/renet/2018-01-09/18/627_2018-01-09_20-53-06_5a549102642bc.xml
19221305,/data/provider/renet/2018-01-08/10/10016383_2018-01-08_12-56-15_5a52cfc0004e3.xml
18813655,/data/provider/renet/2018-01-05/10/2085_2018-01-05_12-54-03_5a4edabbf2ed2.xml
19507835,/data/provider/renet/2018-01-09/10/615-186_2018-01-09_12-57-52_5a5421a0d8132.xml
18918885,/data/provider/renet/2018-01-10/14/627_2018-01-10_16-53-06_5a55aa42ef22c.xml
